Reporter Identifier	VALUE
A_51_P118417	6.406851
A_51_P118433	-2.2284932
A_51_P118443	1.5264425
A_51_P118468	-3.9852357
A_51_P118506	-5.285642
A_51_P118527	-6.235826
A_51_P118535	1.2487926
A_51_P118539	1.6538391
A_51_P118545	-6.285762
A_51_P118603	2.8993692
A_51_P118637	3.0366077
A_51_P118650	3.4766922
A_51_P118664	-1.7856975
A_51_P118671	2.334796
A_51_P118688	-4.813312
A_51_P118704	-1.4923911
A_51_P118712	4.6531124
A_51_P118715	0.3965063
A_51_P118720	0.2303915
A_51_P118727	-0.0952816
A_51_P118742	2.282753
A_51_P118763	1.6302176
A_51_P118765	7.9583063
A_51_P118779	-0.4230585
A_51_P118822	-6.193164
A_51_P118868	-6.308263
A_51_P118877	-6.289154
A_51_P118885	2.733017
A_51_P118902	0.054857254
A_51_P118945	-4.9285603
A_51_P119016	-0.18033123
A_51_P119031	-0.41216278
A_51_P119039	-6.374346
A_51_P119055	-0.17706966
A_51_P119066	-3.0865402
A_51_P119077	7.788924
A_51_P119100	-4.8406224
A_51_P119106	7.8719606
A_51_P119161	-3.5084252
A_51_P119215	-3.901307
A_51_P119239	-4.4710693
A_51_P119255	-6.309513
A_51_P119306	-6.2780166
A_51_P119315	-6.302737
A_51_P119358	0.47715282
A_51_P119387	-6.215124
A_51_P119401	0.24637985
A_51_P119429	-1.8740497
A_51_P119460	0.84677696
A_51_P119469	-5.1480045
A_51_P119525	-6.396303
A_51_P119544	0.9118147
A_51_P119588	-3.8447752
A_51_P119597	4.6402187
A_51_P119633	-6.316367
A_51_P119636	-6.2672195
A_51_P119670	-2.0963097
A_51_P119715	6.901312
A_51_P119726	-4.533909
A_51_P119749	-1.9559588
A_51_P119760	-1.5747633
A_51_P119771	-5.1139708
A_51_P119776	-4.425058
A_51_P119841	-3.0860567
A_51_P119857	1.0543737
A_51_P119882	-6.2815924
A_51_P119890	-6.274667
A_51_P119900	-5.3452215
A_51_P119923	2.8262768
A_51_P119932	-3.7866845
A_51_P119947	-6.2370877
A_51_P119986	-0.75194645
A_51_P120008	-2.384748
A_51_P120024	-3.657167
A_51_P120027	-6.231601
A_51_P120066	0.3193493
A_51_P120093	2.2808914
A_51_P120097	-4.4703693
A_51_P120137	-1.5134969
A_51_P120201	6.6061983
A_51_P120220	-1.4543433
A_51_P120233	-6.2793884
A_51_P120239	0.93540287
A_51_P120254	1.060256
A_51_P120257	3.839857
A_51_P120275	-5.3281765
A_51_P120295	-4.0459104
A_51_P120305	3.8984756
A_51_P120356	-6.276305
A_51_P120388	-6.238533
A_51_P120398	-6.176035
A_51_P120415	-6.2850456
A_51_P120448	1.9531088
A_51_P120461	2.4851933
A_51_P120470	-0.019098282
A_51_P120589	-6.296421
A_51_P120608	2.2945604
A_51_P120615	-0.8523092
A_51_P120636	0.35205555
A_51_P120645	-5.8371487
A_51_P120674	2.2400684
A_51_P120680	-6.3300676
A_51_P120688	-6.176709
A_51_P120717	3.5554628
A_51_P120729	4.6902657
A_51_P120738	-5.5764656
A_51_P120775	-6.244443
A_51_P120785	-2.0417533
A_51_P120823	-3.5908737
A_51_P120830	-5.593005
A_51_P120851	-3.5066795
A_51_P120859	5.5796986
A_51_P120875	-5.1707897
A_51_P120917	-4.7850275
A_51_P120948	1.911479
A_51_P120975	-6.3507023
A_51_P120990	-2.441677
A_51_P121031	-3.7889261
A_51_P121058	3.883522
A_51_P121086	-6.3641596
A_51_P121101	-5.105325
A_51_P121134	-6.254429
A_51_P121179	-5.20281
A_51_P121198	-2.4812427
A_51_P121206	1.1903219
A_51_P121228	3.6645727
A_51_P121236	-1.09939
A_51_P121252	0.28814316
A_51_P121266	-4.636168
